RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,125.0,78.0,89.4,19.0,18.5,18.5,19.0,19.0,56.5,24,NULL,-0.24,3.0,137.5,1,134.0,94.2,89.4,20.0,19.5,19.5,19.5,19.5,58.5,25,NULL,0.31,-2.6,150.1,1,287.6,980.1,3
2,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,124.0,76.2,89.9,19.0,18.5,18.5,18.5,18.5,55.5,24,NULL,0.07,-0.6,131.1,3,130.0,87.0,90.2,19.0,19.0,18.5,18.5,19.0,56.5,25,NULL,-0.12,1.5,145.0,2,276.1,1011.0,2
3,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,123.5,75.3,88.9,19.0,19.0,19.0,19.0,19.0,57.0,24,NULL,-0.23,2.9,135.2,2,130.0,87.0,89.5,18.5,19.0,18.5,19.0,18.0,56.0,25,NULL,0.34,-2.9,140.1,6,275.3,1033.4,1
4,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,124.5,77.1,89.7,18.5,18.5,18.0,18.5,18.5,55.5,24,NULL,0.40,-3.4,129.2,5,131.0,88.8,90.1,18.5,19.0,19.0,18.5,18.5,56.0,25,NULL,0.25,-2.1,142.7,4,271.9,1011.0,2
5,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,122.5,73.5,89.0,18.5,18.5,18.0,19.0,18.5,55.5,24,NULL,-0.07,0.9,129.9,4,131.5,89.7,89.2,19.0,19.5,19.5,19.0,19.0,57.5,25,NULL,0.67,-5.7,141.5,5,271.4,894.4,6
6,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,123.5,75.3,88.6,19.0,18.5,18.5,18.5,18.5,55.5,24,NULL,0.37,-3.1,127.7,7,127.0,81.6,89.0,19.0,19.0,19.0,18.0,19.0,57.0,25,NULL,0.36,-3.0,135.6,8,263.3,950.9,4
7,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,118.0,65.4,89.3,17.5,17.5,18.0,18.0,18.0,53.5,24,NULL,0.12,-1.0,117.9,13,129.5,86.1,89.9,19.5,19.0,19.0,18.5,19.0,57.0,25,NULL,-0.09,1.1,144.2,3,262.1,910.0,5
8,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,121.0,70.8,88.8,18.5,18.5,18.5,18.0,18.0,55.0,24,NULL,0.39,-3.3,122.5,9,125.0,78.0,89.8,18.5,18.5,19.0,18.5,19.0,56.0,25,NULL,-0.14,1.8,135.8,7,258.3,1033.4,1
9,Jelar Ziga,SLO,22 OCT 1997,Sk Triglav kranj,122.5,73.5,89.5,18.5,18.5,18.5,18.5,18.5,55.5,24,NULL,-0.01,0.1,129.1,6,124.0,76.2,89.9,18.5,18.5,18.5,18.5,18.0,55.5,25,NULL,0.50,-4.2,127.5,11,256.6,950.9,4
10,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,120.0,69.0,89.7,18.0,18.5,18.0,18.0,17.5,54.0,24,NULL,-0.04,0.5,123.5,8,124.0,76.2,90.1,19.0,18.5,18.5,18.5,18.0,55.5,25,NULL,0.08,-0.7,131.0,10,254.5,1033.4,1
