RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,139.5,86.1,90.7,19.0,19.0,19.0,19.0,19.0,57.0,09,NULL,-0.64,10.4,153.5,1,143.0,92.4,90.9,19.5,19.0,19.0,19.5,19.0,57.5,10,NULL,-0.39,6.3,156.2,1,309.7,1113.2,1
2,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,132.5,73.5,90.3,18.5,18.5,18.5,19.0,19.0,56.0,09,NULL,-0.70,11.3,140.8,3,138.5,84.3,90.3,19.0,19.5,19.0,19.0,19.0,57.0,10,NULL,-0.12,1.9,143.2,3,284.0,1044.4,3
3,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,131.0,70.8,90.6,18.5,18.5,18.5,18.0,18.5,55.5,09,NULL,-0.68,11.0,137.3,4,141.5,89.7,90.7,19.0,19.0,19.5,19.5,19.0,57.5,10,NULL,0.13,-1.4,145.8,2,283.1,1042.8,5
4,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,131.5,71.7,90.5,18.0,18.5,18.5,18.5,18.0,55.0,09,NULL,-0.57,9.2,135.9,5,137.0,81.6,90.8,19.0,18.5,18.5,18.5,18.5,55.5,10,NULL,-0.08,1.3,138.4,6,274.3,1113.2,1
5,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,133.0,74.4,90.4,18.5,18.5,19.0,18.5,19.0,56.0,09,NULL,-0.65,10.5,140.9,2,132.0,72.6,90.6,19.0,18.5,18.5,18.5,18.5,55.5,10,NULL,-0.27,4.4,132.5,11,273.4,1043.0,4
5,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,132.0,72.6,90.6,18.0,18.5,18.5,18.5,18.5,55.5,09,NULL,-0.24,3.9,132.0,8,138.0,83.4,90.7,19.0,19.0,19.0,19.0,19.0,57.0,10,NULL,-0.06,1.0,141.4,4,273.4,1053.1,2
7,Johansson Robert,NOR,23 MAR 1990,Soere Aal IL,128.5,66.3,90.6,18.0,18.0,18.0,18.0,17.5,54.0,09,NULL,-0.74,12.0,132.3,6,136.5,80.7,90.8,18.5,19.0,19.0,19.0,18.5,56.5,10,NULL,-0.10,1.6,138.8,5,271.1,1043.0,4
8,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,133.0,74.4,89.7,19.0,18.5,18.5,18.5,19.0,56.0,09,NULL,-0.11,1.8,132.2,7,136.0,79.8,89.7,19.0,19.0,19.0,18.5,19.0,57.0,10,NULL,0.03,-0.3,136.5,7,268.7,1113.2,1
9,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,128.5,66.3,90.5,17.5,17.5,17.5,17.5,17.5,52.5,09,NULL,-0.68,11.0,129.8,10,135.5,78.9,90.5,18.0,18.5,18.5,18.5,18.5,55.5,10,NULL,-0.06,1.0,135.4,10,265.2,1053.1,2
10,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,128.5,66.3,90.6,17.5,17.0,17.5,17.5,17.5,52.5,09,NULL,-0.59,9.6,128.4,13,135.0,78.0,90.9,19.0,18.5,18.5,19.0,19.0,56.5,10,NULL,-0.11,1.8,136.3,8,264.7,1042.8,5
