RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,131.0,79.8,88.9,18.5,18.5,18.5,18.5,18.0,55.5,12,NULL,-0.48,7.8,143.1,1,133.5,84.3,89.0,19.0,19.0,19.0,19.0,19.0,57.0,12,NULL,-0.16,2.6,143.9,1,287.0,1044.0,4
2,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,131.5,80.7,88.9,19.0,19.0,19.0,19.0,19.0,57.0,12,NULL,-0.26,4.2,141.9,2,131.0,79.8,88.8,19.0,19.0,19.5,19.0,19.0,57.0,12,NULL,0.00,0.0,136.8,7,278.7,1053.5,3
3,Lindvik Marius,NOR,27 JUN 1998,Raelingen Skiklubb,131.0,79.8,88.7,18.0,18.0,18.5,18.0,18.0,54.0,12,NULL,-0.19,3.1,136.9,4,133.5,84.3,88.4,19.0,19.0,19.0,19.0,19.0,57.0,12,NULL,0.11,-1.2,140.1,2,277.0,1076.9,1
4,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,128.0,74.4,88.9,18.5,18.5,18.5,18.5,18.5,55.5,12,NULL,-0.37,6.0,135.9,5,133.0,83.4,88.8,18.5,18.5,18.0,18.5,18.5,55.5,12,NULL,0.12,-1.3,137.6,5,273.5,1076.9,1
5,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,126.0,70.8,88.7,18.5,18.5,18.5,18.5,18.5,55.5,12,NULL,-0.47,7.6,133.9,8,132.0,81.6,88.7,18.0,18.0,18.5,18.0,18.0,54.0,12,NULL,-0.20,3.2,138.8,3,272.7,1066.5,2
6,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,131.0,79.8,88.5,18.5,18.5,18.5,18.5,18.5,55.5,12,NULL,0.02,-0.2,135.1,6,131.5,80.7,88.4,19.0,18.5,19.0,19.0,19.0,57.0,12,NULL,0.07,-0.8,136.9,6,272.0,1066.5,2
7,Tande Daniel Andre,NOR,24 JAN 1994,Kongsberg If,127.5,73.5,88.4,18.0,18.5,18.5,18.5,18.0,55.0,12,NULL,-0.32,5.2,133.7,9,130.0,78.0,88.6,18.5,18.5,18.5,18.5,18.5,55.5,12,NULL,-0.10,1.6,135.1,8,268.8,1076.9,1
8,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,125.5,69.9,89.2,18.5,18.0,17.5,18.0,18.0,54.0,12,NULL,-0.32,5.2,129.1,13,130.5,78.9,89.3,18.5,18.5,18.5,18.5,18.5,55.5,12,NULL,-0.26,4.2,138.6,4,267.7,1044.0,4
9,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,127.0,72.6,88.8,18.0,18.0,17.5,18.0,18.0,54.0,12,NULL,-0.42,6.8,133.4,10,129.0,76.2,88.7,18.5,18.0,18.0,17.5,18.5,54.5,12,NULL,0.04,-0.4,130.3,11,263.7,1066.5,2
10,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,128.5,75.3,88.8,18.5,18.5,18.5,18.0,18.5,55.5,12,NULL,-0.25,4.0,134.8,7,127.0,72.6,88.7,18.5,18.5,18.5,18.5,18.5,55.5,12,NULL,-0.03,0.5,128.6,15,263.4,1053.5,3
