RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,141.0,92.4,84.2,18.0,18.5,19.0,19.0,18.5,56.0,02,11.1,2.11,-22.8,136.7,2,143.0,96.0,85.1,19.5,19.5,20.0,20.0,20.0,59.5,03,3.7,1.39,-15.0,144.2,1,280.9,853.3,6
2,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,140.0,90.6,84.6,19.5,20.0,19.5,19.0,19.5,58.5,02,11.1,1.60,-17.3,142.9,1,136.5,84.3,84.7,19.5,19.0,19.5,19.0,19.5,58.0,03,3.7,1.85,-20.0,126.0,5,268.9,943.0,2
3,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,140.5,91.5,85.4,18.0,18.0,17.5,17.5,17.0,53.0,05,NULL,1.37,-14.8,129.7,7,139.5,89.7,84.6,18.5,18.5,19.0,18.5,18.5,55.5,03,3.7,2.01,-21.7,127.2,4,256.9,928.4,3
4,Prevc Domen,SLO,4 JUN 1999,Sk Triglav kranj,136.0,83.4,85.6,18.5,19.0,18.5,18.5,18.5,55.5,05,NULL,1.56,-16.8,122.1,12,140.0,90.6,84.4,18.5,19.5,19.0,19.0,19.5,57.5,03,3.7,2.23,-24.1,127.7,3,249.8,971.6,1
5,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,143.5,96.9,85.1,18.5,19.0,19.0,18.5,18.5,56.0,04,3.7,2.01,-21.7,134.9,3,127.0,67.2,84.3,17.5,18.0,17.0,17.5,17.5,52.5,03,3.7,1.52,-16.4,107.0,19,241.9,943.0,2
6,Prevc Peter,SLO,20 SEP 1992,SK Triglav Kranj,139.0,88.8,85.0,16.5,16.0,16.0,16.5,15.0,48.5,03,7.4,1.43,-15.4,129.3,8,130.0,72.6,84.9,18.0,18.0,18.0,18.0,18.0,54.0,03,3.7,1.66,-17.9,112.4,12,241.7,971.6,1
7,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,138.5,87.9,84.6,18.5,19.0,19.0,18.5,19.0,56.5,02,11.1,2.15,-23.2,132.3,5,127.5,68.1,84.6,18.0,18.5,17.5,18.0,18.0,54.0,03,3.7,1.56,-16.8,109.0,16,241.3,922.6,4
8,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,130.0,72.6,84.5,18.0,18.0,18.0,18.5,18.5,54.5,02,11.1,1.80,-19.4,118.8,13,136.0,83.4,85.2,18.5,19.0,19.0,18.5,19.0,56.5,03,3.7,2.03,-21.9,121.7,7,240.5,917.8,5
9,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,129.0,70.8,84.1,18.5,19.0,18.0,18.5,18.0,55.0,02,11.1,1.69,-18.3,118.6,14,132.5,77.1,84.7,18.5,18.5,18.5,18.5,18.5,55.5,03,3.7,1.34,-14.5,121.8,6,240.4,971.6,1
10,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,142.0,94.2,84.4,18.5,19.5,19.0,18.5,19.0,56.5,03,7.4,2.15,-23.2,134.9,3,121.0,56.4,84.5,18.0,17.5,17.5,18.0,17.5,53.0,03,3.7,0.77,-8.3,104.8,20,239.7,971.6,1
