RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,140.0,96.0,85.5,18.5,19.0,19.0,19.0,18.5,56.5,10,5.2,0.64,-7.5,150.2,4,147.0,108.6,85.7,19.0,18.5,19.0,18.5,19.5,56.5,10,NULL,0.92,-10.8,154.3,2,304.5,1126.8,1
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,139.0,94.2,85.7,19.0,18.5,18.0,18.5,18.5,55.5,10,5.2,0.43,-5.0,149.9,5,145.0,105.0,85.8,18.5,19.0,19.0,19.0,19.0,57.0,10,NULL,0.63,-7.4,154.6,1,304.5,1087.9,2
3,Nakamura Naoki,JPN,19 SEP 1996,Flying Laboratory SC,144.0,103.2,85.8,19.0,19.0,19.0,18.5,18.0,56.5,11,NULL,0.73,-8.5,151.2,3,139.5,95.1,85.3,18.0,18.5,18.5,18.0,18.0,54.5,10,NULL,0.50,-5.9,143.7,6,294.9,1006.8,6
4,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,145.0,105.0,85.8,18.5,19.0,19.5,19.0,19.0,57.0,10,5.2,1.06,-12.4,154.8,2,139.0,94.2,85.7,18.0,18.0,18.5,18.5,19.0,55.0,10,NULL,0.80,-9.4,139.8,9,294.6,1047.4,5
5,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,138.0,92.4,86.0,18.0,18.0,17.5,17.5,18.0,53.5,10,5.2,0.57,-6.7,144.4,7,139.0,94.2,85.9,18.0,18.0,18.5,18.5,18.5,55.0,10,NULL,0.81,-9.5,139.7,10,284.1,1049.8,4
6,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,145.5,105.9,86.0,18.5,19.5,18.5,19.5,18.5,56.5,10,5.2,1.01,-11.8,155.8,1,130.0,78.0,85.8,18.0,18.5,18.0,18.0,18.5,54.5,10,NULL,0.82,-9.6,122.9,20,278.7,1049.8,4
7,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,133.5,84.3,86.0,18.0,18.0,17.5,18.0,17.5,53.5,11,NULL,0.70,-8.2,129.6,17,143.0,101.4,85.8,19.0,19.0,19.0,19.0,18.5,57.0,10,NULL,0.87,-10.2,148.2,3,277.8,1075.1,3
8,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,138.5,93.3,86.0,18.5,19.0,19.0,18.5,19.0,56.5,11,NULL,0.50,-5.9,143.9,8,134.0,85.2,85.5,18.0,18.5,18.0,18.0,18.5,54.5,10,NULL,0.63,-7.4,132.3,15,276.2,1126.8,1
8,Paschke Pius,GER,20 MAY 1990,WSV Kiefersfelden,132.5,82.5,85.9,17.5,18.0,17.0,17.5,18.0,53.0,11,NULL,0.10,-1.2,134.3,13,139.5,95.1,85.6,18.5,18.5,18.5,18.5,18.5,55.5,10,NULL,0.74,-8.7,141.9,7,276.2,1075.1,3
10,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,137.5,91.5,86.6,18.0,18.5,18.5,18.0,18.0,54.5,11,NULL,0.43,-5.0,141.0,9,136.0,88.8,86.1,18.0,18.5,17.5,18.0,18.0,54.0,10,NULL,0.75,-8.8,134.0,12,275.0,1075.1,3
