RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,139.0,88.8,86.8,19.5,19.0,19.5,19.5,19.5,58.5,07,7.4,0.55,-5.9,148.8,1,135.5,82.5,87.1,19.5,19.0,19.0,19.5,19.0,57.5,08,NULL,0.49,-5.3,134.7,3,283.5,1037.5,1
2,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,129.5,71.7,86.6,18.5,18.0,18.5,18.5,18.5,55.5,07,7.4,-0.24,3.9,138.5,2,132.0,76.2,87.0,19.0,19.0,18.5,19.0,19.0,57.0,08,NULL,-0.38,6.2,139.4,2,277.9,979.9,3
3,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,129.0,70.8,86.7,18.0,18.5,18.0,18.5,19.0,55.0,07,7.4,0.21,-2.3,130.9,11,137.5,86.1,87.1,19.0,19.0,19.0,19.0,19.0,57.0,08,NULL,-0.13,2.1,145.2,1,276.1,896.5,6
4,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,131.5,75.3,87.1,18.5,18.5,18.5,18.5,19.0,55.5,07,7.4,0.19,-2.1,136.1,5,128.0,69.0,87.3,18.0,18.5,18.0,18.5,18.0,54.5,08,NULL,-0.32,5.2,128.7,6,264.8,989.2,2
5,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,135.0,81.6,86.7,19.0,18.0,18.5,19.0,19.0,56.5,07,7.4,1.24,-13.4,132.1,8,128.5,69.9,87.1,17.5,18.0,18.0,18.5,18.0,54.0,08,NULL,-0.12,1.9,125.8,10,257.9,1037.5,1
6,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,127.0,67.2,86.7,17.5,17.5,17.5,18.0,18.0,53.0,07,7.4,0.48,-5.2,122.4,19,133.5,78.9,87.2,18.5,18.5,18.5,19.0,18.5,55.5,08,NULL,0.15,-1.6,132.8,4,255.2,1037.5,1
7,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,130.0,72.6,87.2,18.0,18.0,18.0,18.5,18.0,54.0,07,7.4,0.90,-9.7,124.3,16,130.0,72.6,87.7,18.0,18.5,18.5,19.0,18.5,55.5,08,NULL,0.11,-1.2,126.9,8,251.2,946.9,5
8,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,131.5,75.3,86.5,19.0,18.0,19.0,19.0,19.0,57.0,07,7.4,0.52,-5.6,134.1,7,121.0,56.4,86.9,17.5,17.5,17.5,18.0,17.5,52.5,08,NULL,-0.47,7.6,116.5,13,250.6,989.2,2
9,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,130.0,72.6,86.9,18.0,18.0,18.0,18.0,18.0,54.0,07,7.4,1.22,-13.2,120.8,20,134.0,79.8,87.2,18.5,18.5,18.5,18.5,19.0,55.5,08,NULL,0.58,-6.3,129.0,5,249.8,989.2,2
10,Mogel Zak,SLO,2 MAR 2001,Ssk Ljubno btc,133.0,78.0,87.1,17.5,17.5,18.0,18.0,18.0,53.5,09,NULL,1.05,-11.3,120.2,22,137.5,86.1,87.2,18.0,17.5,19.0,18.5,18.5,55.0,08,NULL,1.15,-12.4,128.7,6,248.9,957.2,4
11,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,129.0,70.8,86.5,17.5,18.0,18.0,17.5,18.0,53.5,07,7.4,1.12,-12.1,119.6,23,131.5,75.3,86.8,18.5,18.5,18.5,18.5,18.5,55.5,08,NULL,0.43,-4.6,126.2,9,245.8,979.9,3
12,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,132.0,76.2,86.5,18.5,18.5,18.5,18.5,18.5,55.5,07,7.4,0.32,-3.5,135.6,6,119.5,53.7,86.8,17.5,17.5,17.5,17.0,17.5,52.5,08,NULL,-0.24,3.9,110.1,17,245.7,957.2,4
13,Prevc Peter,SLO,20 SEP 1992,SK Triglav Kranj,136.0,83.4,86.9,18.5,18.5,18.5,18.5,19.0,55.5,07,7.4,0.83,-9.0,137.3,3,119.5,53.7,87.1,17.0,17.5,17.0,17.5,17.0,51.5,08,NULL,-0.14,2.3,107.5,21,244.8,957.2,4
14,Aigner Clemens,AUT,2 FEB 1993,SV Innsbruck-Bergisel-Tirol,134.5,80.7,86.8,18.5,18.0,19.0,18.5,18.5,55.5,07,7.4,1.08,-11.7,131.9,9,121.5,57.3,87.0,17.5,17.0,17.5,18.0,17.5,52.5,08,NULL,0.07,-0.8,109.0,19,240.9,1037.5,1
15,Deschwanden Gregor,SUI,27 FEB 1991,Horw,127.0,67.2,86.5,18.0,17.5,17.5,18.0,18.0,53.5,07,7.4,0.30,-3.2,124.9,15,125.5,64.5,87.1,18.5,18.0,18.0,17.5,18.0,54.0,08,NULL,0.25,-2.7,115.8,14,240.7,648.7,7
16,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,126.0,65.4,86.9,18.5,17.5,17.5,18.0,18.0,53.5,07,7.4,0.32,-3.5,122.8,18,127.5,68.1,87.1,17.5,18.0,17.5,18.0,18.0,53.5,08,NULL,0.43,-4.6,117.0,12,239.8,1037.5,1
17,Leyhe Stephan,GER,5 JAN 1992,SC Willingen,131.0,74.4,87.0,18.0,18.0,18.0,18.5,18.5,54.5,07,7.4,0.45,-4.9,131.4,10,117.5,50.1,87.0,17.0,17.0,17.0,17.0,16.5,51.0,08,NULL,-0.27,4.4,105.5,23,236.9,946.9,5
