RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,141.5,89.7,90.1,19.5,19.5,19.5,19.0,19.5,58.5,12,10.3,0.11,-1.1,157.4,1,135.5,78.9,90.0,19.0,19.0,19.0,19.0,19.0,57.0,12,5.1,-0.13,2.0,143.0,4,300.4,1003.3,5
2,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,138.0,83.4,90.4,19.0,19.0,19.0,19.0,19.0,57.0,13,5.1,-0.33,5.2,150.7,2,138.0,83.4,89.6,19.0,18.5,18.5,18.5,19.0,56.0,12,5.1,-0.13,2.0,146.5,2,297.2,1118.6,1
3,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,135.0,78.0,89.7,19.0,18.5,18.5,18.5,18.5,55.5,12,10.3,-0.11,1.7,145.5,6,142.0,90.6,90.1,19.5,19.5,19.5,19.5,19.5,58.5,13,NULL,0.09,-0.9,148.2,1,293.7,1072.2,2
4,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,135.0,78.0,89.6,18.5,19.0,19.0,18.5,19.0,56.5,12,10.3,-0.24,3.8,148.6,5,137.5,82.5,89.6,18.5,18.5,18.5,18.5,18.5,55.5,12,5.1,-0.09,1.4,144.5,3,293.1,1051.3,3
5,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,139.5,86.1,90.3,18.5,18.5,18.5,18.5,18.0,55.5,13,5.1,-0.22,3.4,150.1,3,134.0,76.2,90.0,19.0,19.0,19.0,18.5,18.0,56.5,12,5.1,-0.28,4.4,142.2,5,292.3,1003.3,5
6,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,135.0,78.0,89.9,19.5,19.5,19.0,19.0,19.0,57.5,12,10.3,-0.21,3.3,149.1,4,130.0,69.0,89.7,18.5,18.5,18.5,19.0,19.0,56.0,12,5.1,-0.26,4.1,134.2,9,283.3,1118.6,1
7,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,138.0,83.4,91.0,19.0,18.5,19.0,18.5,18.5,56.0,14,NULL,-0.10,1.6,141.0,8,137.0,81.6,90.4,19.0,18.5,18.5,18.5,19.0,56.0,13,NULL,-0.10,1.6,139.2,6,280.2,1118.6,1
8,Bresadola Giovanni,ITA,17 FEB 2001,C.S. ESERCITO,132.5,73.5,90.9,18.5,18.0,18.0,18.0,18.0,54.0,14,NULL,-0.65,10.2,137.7,10,134.0,76.2,90.2,18.5,18.5,18.5,18.0,18.5,55.5,13,NULL,-0.15,2.3,134.0,10,271.7,690.5,7
9,Johansson Robert,NOR,23 MAR 1990,Soere Aal IL,137.5,82.5,91.0,19.5,18.5,19.0,18.5,19.0,56.5,14,NULL,-0.17,2.7,141.7,7,129.0,67.2,90.4,18.5,18.5,18.5,18.5,18.5,55.5,13,NULL,-0.11,1.7,124.4,15,266.1,1051.3,3
10,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,140.0,87.0,91.2,11.0,12.0,11.5,11.0,12.0,34.5,14,NULL,-0.41,6.4,127.9,16,136.5,80.7,90.4,19.0,19.5,19.0,18.5,19.0,57.0,13,NULL,0.00,0.0,137.7,7,265.6,1008.3,4
11,Kos Lovro,SLO,23 JUL 1999,SSK Ilirija,131.5,71.7,90.7,18.0,18.0,18.0,18.0,18.0,54.0,14,NULL,-0.70,11.0,136.7,11,131.5,71.7,90.0,18.0,18.0,18.0,18.5,18.5,54.5,13,NULL,-0.04,0.6,126.8,12,263.5,1072.2,2
12,Lindvik Marius,NOR,27 JUN 1998,Raelingen Skiklubb,137.0,81.6,90.4,18.5,18.5,18.5,18.5,18.5,55.5,14,NULL,-0.06,0.9,138.0,9,130.0,69.0,89.8,18.0,17.5,18.0,18.0,18.0,54.0,13,NULL,-0.11,1.7,124.7,14,262.7,1051.3,3
13,Prevc Peter,SLO,20 SEP 1992,SK Triglav Kranj,127.5,64.5,91.1,17.5,17.5,18.0,18.5,18.5,54.0,14,NULL,-0.79,12.4,130.9,14,131.0,70.8,90.2,18.5,18.0,18.0,18.5,18.5,55.0,13,NULL,-0.09,1.4,127.2,11,258.1,1072.2,2
14,Paschke Pius,GER,20 MAY 1990,WSV Kiefersfelden,133.5,75.3,90.4,18.5,18.0,18.5,18.5,18.5,55.5,14,NULL,-0.35,5.5,136.3,12,129.0,67.2,89.8,18.0,17.5,18.0,18.0,18.0,54.0,13,NULL,-0.03,0.5,121.7,18,258.0,1008.3,4
15,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,120.5,51.9,90.6,17.5,17.5,17.5,17.5,17.5,52.5,14,NULL,-1.10,17.2,121.6,25,133.5,75.3,90.0,18.5,18.5,18.5,18.5,18.0,55.5,13,NULL,-0.35,5.5,136.3,8,257.9,1118.6,1
16,Jelar Ziga,SLO,22 OCT 1997,Sk Triglav kranj,133.0,74.4,91.2,18.5,18.5,18.5,18.5,18.5,55.5,14,NULL,-0.25,3.9,133.8,13,128.0,65.4,90.6,18.5,18.0,18.5,18.5,18.5,55.5,13,NULL,-0.14,2.2,123.1,17,256.9,1072.2,2
17,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,123.5,57.3,91.1,18.0,17.5,18.0,18.0,18.0,54.0,14,NULL,-0.78,12.2,123.5,22,131.0,70.8,90.3,17.5,18.0,18.0,18.5,18.5,54.5,13,NULL,-0.08,1.3,126.6,13,250.1,1118.6,1
18,Aschenwald Philipp,AUT,12 NOV 1995,SC Mayerhofen-Tirol,129.0,67.2,91.0,18.0,18.0,18.0,18.0,18.0,54.0,14,NULL,-0.29,4.5,125.7,18,128.5,66.3,90.2,18.0,18.0,18.0,18.0,18.0,54.0,13,NULL,-0.24,3.8,124.1,16,249.8,1118.6,1
19,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,127.0,63.6,91.2,17.5,18.0,17.5,18.0,18.5,53.5,14,NULL,-0.54,8.5,125.6,19,125.0,60.0,NULL,17.5,17.0,17.0,18.0,18.0,52.5,12/13,NULL,-0.32,5.0,117.5,20,243.1,1008.3,4
20,Schmid Constantin,GER,27 NOV 1999,Wsv Oberaudorf,127.5,64.5,91.3,17.5,17.5,17.5,18.0,18.0,53.0,14,NULL,-0.61,9.6,127.1,17,125.0,60.0,90.7,18.0,18.0,17.5,18.0,18.5,54.0,13,NULL,-0.03,0.5,114.5,21,241.6,1008.3,4
21,Prevc Domen,SLO,4 JUN 1999,Sk Triglav kranj,123.0,56.4,91.0,17.5,17.0,17.5,17.5,17.5,52.5,14,NULL,-0.69,10.8,119.7,30,128.0,65.4,90.2,17.5,18.0,18.0,18.0,18.0,54.0,13,NULL,-0.03,0.5,119.9,19,239.6,1072.2,2
22,Leyhe Stephan,GER,5 JAN 1992,SC Willingen,129.0,67.2,91.1,18.0,18.0,18.5,18.0,18.0,54.0,14,NULL,-0.52,8.1,129.3,15,123.0,56.4,90.6,17.5,17.5,17.5,17.5,17.5,52.5,13,NULL,-0.06,0.9,109.8,23,239.1,1008.3,4
