RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,149.5,95.1,87.9,19.0,19.0,19.0,19.0,19.0,57.0,08/09,8.8,0.45,-5.3,155.6,1,138.0,74.4,89.4,19.0,18.5,18.5,18.5,18.5,55.5,11,NULL,-0.63,11.1,141.0,2,296.6,988.8,4
2,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,150.0,96.0,88.4,19.0,19.0,19.0,18.5,18.5,56.5,09,4.4,0.61,-7.1,149.8,2,138.0,74.4,89.3,19.0,18.5,18.5,18.5,19.0,56.0,11,NULL,-0.78,13.7,144.1,1,293.9,1027.3,1
3,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,147.0,90.6,88.5,17.0,18.0,18.0,18.0,18.5,54.0,09,4.4,0.55,-6.4,142.6,3,137.0,72.6,89.6,18.5,18.0,18.5,18.0,18.5,55.0,11,NULL,-0.63,11.1,138.7,3,281.3,996.9,3
4,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,137.0,72.6,88.5,18.0,18.0,18.0,18.0,18.0,54.0,09,4.4,0.23,-2.7,128.3,11,138.0,74.4,89.4,18.0,18.0,18.0,18.5,18.0,54.0,11,NULL,-0.48,8.4,136.8,4,265.1,996.9,3
5,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,137.0,72.6,88.7,18.0,18.0,18.5,18.5,18.5,55.0,09,4.4,0.13,-1.5,130.5,5,135.5,69.9,89.7,18.5,18.5,18.0,18.5,18.5,55.5,11,NULL,-0.48,8.4,133.8,6,264.3,1016.4,2
6,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,137.0,72.6,88.0,18.5,18.0,18.5,18.5,18.5,55.5,09,4.4,0.32,-3.7,128.8,9,135.0,69.0,89.2,18.5,18.0,18.5,18.0,18.5,55.0,11,NULL,-0.61,10.7,134.7,5,263.5,874.0,6
7,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,134.0,67.2,88.2,18.0,18.0,18.0,18.5,18.0,54.0,09,4.4,-0.10,1.8,127.4,12,135.0,69.0,89.2,18.5,18.0,18.5,18.0,18.5,55.0,11,NULL,-0.56,9.8,133.8,6,261.2,988.8,4
8,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,138.0,74.4,88.3,18.5,18.0,18.5,18.5,18.5,55.5,09,4.4,0.28,-3.3,131.0,4,131.5,62.7,89.1,18.0,18.0,18.0,17.5,18.5,54.0,11,NULL,-0.55,9.7,126.4,10,257.4,943.1,5
9,Raimund Philipp,GER,23 JUN 2000,Sc Oberstdorf,142.5,82.5,89.1,18.0,18.5,18.5,18.5,18.5,55.5,10,NULL,0.67,-7.8,130.2,7,130.0,60.0,89.6,17.5,17.5,17.5,17.5,17.5,52.5,11,NULL,-0.74,13.0,125.5,13,255.7,1016.4,2
10,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,132.0,63.6,88.9,18.0,18.0,18.0,18.0,18.0,54.0,09,4.4,-0.44,7.7,129.7,8,132.5,64.5,89.9,18.0,18.0,18.0,18.0,18.5,54.0,11,NULL,-0.41,7.2,125.7,12,255.4,1016.4,2
